㔢	t͡ɕyəʔ²
兀霎霎	vəʔ² sa⁴⁵ sa⁴⁵⁻⁵³
允	yŋ¹¹
元	ye¹¹
元宵	ye¹¹ ɕiau¹¹
元旦	ye¹¹ tæ̃⁴⁵
元气	ye¹¹ t͡ɕʰi⁴⁵
元氣	ye¹¹ t͡ɕʰi⁴⁵
兄	ɕyŋ¹¹
兄弟	ɕyŋ¹¹ ti⁴⁵
兆	t͡sau⁴⁵
先	ɕie¹¹
先人	ɕie¹¹ ʐəŋ¹¹
先前年	ɕie⁴⁵ t͡ɕʰie¹¹ nie¹¹
先生	ɕie¹¹ səŋ¹¹
光	kuɒ̃¹¹
光棍	kuɒ̃¹¹ kuŋ⁴⁵
光棍汉	kuɒ̃¹¹ kuŋ⁴⁵ xæ̃⁴⁵
光棍漢	kuɒ̃¹¹ kuŋ⁴⁵ xæ̃⁴⁵
克吝	kʰaʔ² liŋ⁴⁵
免	mie⁵³
兒	əɻ¹¹
兒媳婦	əɻ¹¹ ɕiəʔ² fu⁴⁵
兒蜻	əɻ¹¹ t͡ɕʰiŋ¹¹
兒貓	əɻ¹¹ mau¹¹
兒馬	əɻ¹¹ ma⁵³
兔	tʰu⁴⁵
兔儿	tʰu⁴⁵ əɻ⁵³
兔兒	tʰu⁴⁵ əɻ⁵³
兔唇唇	tʰu⁴⁵ t͡sʰuŋ¹¹ t͡sʰuŋ¹¹⁻⁴⁵
兔脣脣	tʰu⁴⁵ t͡sʰuŋ¹¹ t͡sʰuŋ¹¹⁻⁴⁵
党	tɒ̃⁵³
兜	təu¹¹
兜兜	təu¹¹ təu¹¹⁻⁴⁵
入	ʐuəʔ²
入伏	ʐuəʔ²⁻⁴⁵ fəʔ⁵⁴
入殓	ʐuəʔ² lie⁴⁵
入殮	ʐuəʔ² lie⁴⁵
內	nai⁴⁵
內客	nai⁴⁵ kʰaʔ²
全	t͡ɕʰye¹¹
兩口子	liɒ̃⁵³⁻¹¹ kʰəu⁵³ t͡səʔ¹
兩點兒水	liɒ̃⁵³⁻¹¹ tieɻ⁵³⁻¹¹ suei⁵³
八	paʔ²
八哥	paʔ²⁻⁵⁴ kɤ¹¹
八月十五	paʔ² yəʔ² səʔ⁵⁴ vu⁵³
公	kuŋ¹¹
公公	kuŋ¹¹ kuŋ¹¹⁻⁴⁵
公厘	kuŋ¹¹ li¹¹
公路	kuŋ¹¹ ləu⁴⁵
公釐	kuŋ¹¹ li¹¹
公馬	kuŋ¹¹ ma⁵³
公马	kuŋ¹¹ ma⁵³
公鴨子	kuŋ¹¹ iaʔ² t͡səʔ³
公鸭子	kuŋ¹¹ iaʔ² t͡səʔ³
六	liəu⁴⁵
兰	læ̃¹¹
共	kuŋ⁴⁵
共和	kuŋ⁴⁵ xuɤ¹¹
共和国	kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
共和國	kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
关	kuæ̃¹¹
关老爷	kuæ̃¹¹ lau⁵³ ie¹¹
关门	kuæ̃¹¹ məŋ¹¹
兴	ɕiŋ¹¹
兵	piŋ¹¹
其	t͡ɕʰi¹¹
具	t͡ɕy⁴⁵
典	tie⁵³
典礼	tie⁵³⁻¹¹ li⁵³
典禮	tie⁵³⁻¹¹ li⁵³
养	iɒ̃⁵³
内	nai⁴⁵
内客	nai⁴⁵ kʰaʔ²
冊	t͡sʰəʔ²
册	t͡sʰəʔ²
再	t͡sai⁴⁵
冒	mau⁴⁵
写	ɕie⁵³
军	t͡ɕyŋ¹¹
农	nəŋ¹¹
农圪榄	nəŋ¹¹ kəʔ⁵⁴⁻² læ̃⁵³
农民	nəŋ¹¹ miŋ¹¹
农老二	nuŋ¹¹ lau⁵³ əɻ⁴⁵
冤家	ye¹¹ t͡ɕia¹¹
冤枉	ye¹¹ vɒ̃¹¹
冬	tuŋ¹¹
冬天	tuŋ¹¹ tʰie¹¹
冬瓜	tuŋ¹¹ kua¹¹
冬至	tuŋ¹¹ t͡sz̩⁴⁵
冰	piaŋ¹¹
冰棍儿	piŋ¹¹ kũɻ⁴⁵
冰棍兒	piŋ¹¹ kũɻ⁴⁵
冰激凌	piŋ¹¹ t͡ɕiəʔ²⁻⁵⁴ liŋ¹¹
冰糕	piŋ¹¹ kau¹¹
冰糖	piŋ¹¹ tʰɒ̃¹¹
冰鞋	piŋ¹¹ xai¹¹
决	t͡ɕyəʔ²
况	kʰuɒ̃⁴⁵
冶	ie⁵³
冷	ləŋ⁵³
冷弹子	ləŋ⁵³ tæ̃⁴⁵ t͡səʔ⁴
冷彈子	ləŋ⁵³ tæ̃⁴⁵ t͡səʔ⁴
冻冰	tuŋ⁴⁵ piŋ¹¹
冻疮	tuŋ⁴⁵ t͡sʰuɒ̃¹¹
净	t͡ɕiŋ⁴⁵
准	t͡suŋ⁵³
准备	t͡suŋ⁵³ pei⁴⁵
凉	liɒ̃¹¹
凉哨	liɒ̃¹¹ sau⁴⁵
凉席	liɒ̃¹¹ ɕiəʔ⁵⁴
凉粉儿	liɒ̃¹¹ fʌ̃ɻ⁵³
凉鞋	liɒ̃¹¹ xai¹¹
凌	liŋ¹¹
凍冰	tuŋ⁴⁵ piŋ¹¹
凍瘡	tuŋ⁴⁵ t͡sʰuɒ̃¹¹
凑	t͡sʰəu⁴⁵
凝	niŋ¹¹
几	t͡ɕi⁵³
凡	fæ̃¹¹
凤	fəŋ⁴⁵
凤嵌嵌	fəŋ⁴⁵ t͡ɕʰie¹¹ t͡ɕʰie¹¹⁻⁴⁵
凭	piŋ⁵³
凳	təŋ⁴⁵
凳子	təŋ⁴⁵ t͡səʔ⁴
出	t͡sʰuəʔ²
出來	t͡sʰuəʔ² lai¹¹⁻⁴⁵
出去	t͡sʰuəʔ²⁻⁵⁴ kʰəʔ²
出差	t͡sʰuəʔ²⁻⁵⁴ t͡sʰai¹¹
出来	t͡sʰuəʔ² lai¹¹⁻⁴⁵
出殡	t͡sʰuəʔ² piŋ⁴⁵
出殯	t͡sʰuəʔ² piŋ⁴⁵
出水痘	t͡sʰuəʔ²⁻⁴⁵ suei⁵³ təu⁴⁵
出門子	t͡sʰuəʔ²⁻⁵⁴ məŋ¹¹ t͡səʔ²
出閣	t͡sʰuəʔ²⁻⁵⁴ kaʔ²
