kontakt	kʊnˈtɑkt
krig	ˈkɾiːɡ
annerledes	ˈɑnəˌɭeːdəs
verdt	ˈʋæʈ
skrev	ˈskɾeːʋ
krigen	ˈkɾiːɡən
eget	ˈeːɡət
stikke	ˈstɪkə
antar	ˈɑnˌtɑːɾ
ben	ˈbɛn
vant	ˈʋɑnt
ønsket	ˈœnskə
stikker	ˈstɪkəɾ
hvite	ˈʋiːtə
høyre	ˈhœʏɾə
historien	hɪˈstuːɾɪən
david	ˈdɑːʋɪd
michael	ˈmiːkɑəl
beskjed	bəˈʃeː
husk	ˈhʊsk
tjeneste	ˈtjeːnəstə
føle	ˈføːlə
lå	ˈloː
høyt	ˈhœʏt
største	ˈstœʂʈə
kort	ˈkɔʈ
kastet	ˈkɑstə
slåss	ˈʃlɔs
vinner	ˈʋɪnəɾ
sjefen	ˈʃeːfən
natten	ˈnɑtn
skadet	ˈskɑːdət
skyt	ˈʃyːt
rør	ˈɾøːɾ
spill	ˈspɪl
sjef	ˈʃeːf
født	ˈfœt
særlig	ˈsæːɭɪ
kompis	ˈkʊmpɪs
kontoret	kʊnˈtuːɾə
sjekke	ˈʃɛkə
huske	ˈhʊskə
glemte	ˈɡlɛmtə
umulig	ʊˈmʉːlɪ
dessverre	dəˈsʋæɾə
spesielt	spəsɪˈɛlt
person	ˈpeːʂɔn
doktor	ˈdɔktʊɾ
bevis	bəˈʋiːs
sendt	ˈsɛnt
falt	ˈfɑlt
flytte	ˈflʏtə
mister	ˈmɪstəɾ
drittsekk	ˈdɾɪtˌsɛk
plan	ˈplɑːn
by	ˈbyː
nødt	ˈnœt
forhold	fɔɾˈhɔl
vennene	ˈʋɛnnə
farvel	fɑɾˈʋɛl
klokken	ˈklɔkən
kult	ˈkʊlt
steder	ˈsteːdəɾ
opptatt	ˈɔpˌtɑt
noensinne	ˈnuːənˌsɪnə
stoler	ˈstuːləɾ
sover	ˈsoːʋəɾ
stolt	ˈstɔlt
skyter	ˈʃyːtəɾ
raskt	ˈɾɑskt
mike	ˈmɑɪk
peter	ˈpeːtəɾ
verdens	ˈʋæɖɳs
sjekk	ˈʃɛk
vanlig	ˈʋɑːnlɪ
svart	ˈsʋɑʈ
skynd	ˈʃʏn
vinne	ˈʋɪnə
rolle	ˈɾɔlə
vannet	ˈʋɑnə
ødelegge	ˈøːdəˌlɛɡə
vare	ˈʋɑːɾə
james	ˈdjæɪms
dame	ˈdɑːmə
overalt	ɔʋəˈɾɑlt
søster	ˈsœstəɾ
tuller	ˈtʊləɾ
smart	ˈsmɑːʈ
kjørte	ˈçøːʈə
joe	ˈjuː
skylder	ˈʃʏləɾ
skriver	ˈskɾiːʋəɾ
passe	ˈpɑsə
alvorlig	ɑlˈʋoːɭɪ
