㞎㞎	pa̠⁴¹ pa̠³
偷油婆	tʰəu̯³³ i̯əu̯¹³ po¹³
傍	pan²¹
傍边	pan²¹⁻¹¹ pi̯ẽ³³
傍邊	pan²¹⁻¹¹ pi̯ẽ³³
傘	san⁴¹
備	pe̞i̯⁴⁵
傫	li̯a̠²⁴
催	t͡sʰe̞i̯³³
傭人	in³³ ʐən¹³
傲	ŋɒu̯⁴⁵
債	t͡sai̯⁴⁵
傷	san³³
傷洋子	san³³ i̯æn¹³ t͡sz̩³
傻	sa̠⁴¹
傾瓢	kʰu̯an³³ pi̯ɒu̯¹³
僅	t͡ɕʰin⁴⁵
像	ɕi̯æn⁴⁵
僕	pʰu²⁴
僧	t͡sən³³
僱工	ku⁴⁵ kən³³
價	t͡ɕi̯a̠⁴⁵
億	i⁴⁵
儒	y¹³
優	i̯əu̯³³
儿	ɤ̞¹³
允	yn⁴¹
元	y̯ẽ¹³
元宵	y̯ẽ¹³ ɕi̯ɒu̯³³
兄	ɕin³³
兄弟	ɕin³³ ti²¹⁻¹¹
兆	t͡sɒu̯⁴⁵
先	ɕi̯ẽ³³
先不先	ɕi̯ẽ³³ pu³ ɕi̯ẽ³³
先前	ɕi̯ẽ³³ t͡ɕi̯ẽ¹³
先前天	ɕi̯ẽ⁴¹ t͡ɕʰi̯ẽ¹³ tʰi̯ẽ³³
先前年	ɕi̯ẽ⁴¹ t͡ɕi̯ẽ¹³ n̠ʲi̯ẽ¹³
光	ku̯an³³
光洋	ku̯an³³ i̯æn¹³
光眼瞎	ku̯an³³ ŋan⁴¹ xa̠²⁴
光眼瞎子	ku̯an³³ ŋan⁴¹ xa̠²⁴ t͡sz̩³
光脑壳	ku̯an³³ lɒu̯⁴¹ kʰo²⁴
光腦殼	ku̯an³³ lɒu̯⁴¹ kʰo²⁴
光蒂油	ku̯an³³ ti⁴⁵ i̯əu̯¹³
