㔂甘蔗	lân-kam-tsià
三三八八	sam-sam-pat-pat
三不五時	sam-put-gōo-sî
三不服	sam-put-ho̍k
三不正	sam-put-tsiànn
三不正時	sann-put-tsìng-sî
三不等	sam-put-tíng
三不管	sam-put-kuán
三个半人	sann-ê-puànn-lâng
三人兩面	sann-lâng-nn̄g-bīn
三仔三十一	sann-á-sann-tsa̍p-it
三仙台	Sam-sian-tâi
三令五申	sam-līng-ngóo-sin
三伏天	sam-ho̍k-thinn
三作四歇	sann-tsoh-sì-hioh
三做四歇	sann-tsò-sì-hioh
三做四毋著	sann-tsò-sì-m̄-tio̍h
三元	Sam-guân
三元仔	sam-guân-á
三元魚	sam-guân-hî
三光	sam-kong
三兩人講四斤話	sann-niú-lâng-kóng-sì-kin-uē
三兩句話	sann-nn̄g-kù-uē
三兩工仔	sann-nn̄g-kang-á
三八	sam-pat
三八假賢慧	sam-pat-ké-hiân-huē
三八叮咚	sam-pat-ting-tong
三八叮噹	sam-pat-ting-tang
三八哩囉	sam-pat-li-lo
三八嘴	sam-pat-tshuì
三八婆	sam-pat-pô
三八查某	sam-pat-tsa-bóo
三八氣	sam-pat-khuì
三八無藥醫	sam-pat-bô-io̍h-i
三八甲有賰	sam-pat-kah-ū-tshun
三八膣	sam-pat-tsi
三八芝	sam-pat-tsi
三八赤	sam-pat-tshiah
三八雨	sam-pat-hōo
三兵神	sam-phiann-sîn
三冬花	sam-tang-hue
三分球	sann-hun-kiû
三加皮	sann-ka-phî
三十	sann-tsa̍p
三十下昏	sann-tsa̍p-e-huinn
三十六計走為先	sann-tsa̍p-la̍k-kè-tsáu-uī-sian
三十張犁	sann-tsa̍p-tiunn-lê
三十捅	sann-tsa̍p-thóng
三千年一擺海漲	sann-tshing-nî-tsi̍t-pái-hái-tiòng
三千年的狗屎也提出來講	sann-tshing-nî-ê-káu-sái-iā-the̍h-tshut-lâi-kóng
三叉	sam-tshe
三叉河	Sam-tshe-hô
三叉草	sann-tshe-tsháu
三叉路	sam-tshe-lōo
三友花	sam-iú-hua
三合	sann-ha̍p
三合一	sann-ha̍p-it
三合院	sann-ha̍p-īnn
三商銀	Sam-siong-gîn
三國	Sam-kok
三國志	sam-kok-tsì
三國演義	Sam-kok-ián-gī
三國鼎立	sam-kok-tíng-li̍p
三圍	sam-uî
三地門	Sam-tē-mn̂g
三堡三	sann-pó-sann
三塊厝	Sann-tè-tshù
三壘手	sann-luí-tshiú
三大法人	sann-tuā-huat-jîn
三姑六婆	sam-koo-lio̍k-pô
三娘	sam-niû
三字塗連做伙	sann-jī-thôo-liân-tsò-hué
三字經	sam-jī-king
三官大帝	Sam-kuan-Tāi-tè
三密擠	sam-bi̍t-tsik
三寶	sann-pó
三寶顏	Sam-pó-gân
三寶顏市	Sam-pó-gân-tshī
三層	sam-tsàn
三層樓	sann-tsàn-lâu
三層肉	sam-tsàn-bah
三峽	Sam-kiap
三巴壟	sam-pa-lang
三弦	sam-hiân
三彎兩斡	sann-uan-nn̄g-uat
三彎兩轉	sann-uan-nn̄g-tsuán
