# Serbo-Croatian accent TRANSITIONS — the OOV tier. Key: <ending>|<stem tone>. Value:
# <nucleus shift><TAB><resulting tone><TAB><tone agreement, 0-100><TAB><support>.
# Applied to a stem whose accent is known, NOT used to predict an accent from nothing.
# The shift is always taken (its alternative, first-nucleus, scores 66.8% on these words);
# the tone is withheld below the engine's agreement threshold, as a homograph's is.
# Learned from stress.tsv itself. See tools/serbian/build_sh_accent_transitions.py.
ev|LF	0	LR	67	3
ev|SF	0	SF	75	4
ev|SR	1	LR	100	2
eva|--	0	LR	50	2
eva|LF	0	LR	54	13
eva|SF	0	SF	38	8
eve|--	0	LR	33	3
eve|LF	0	SR	69	13
eve|SF	0	SR	67	3
evi|--	0	LR	33	3
evi|LF	0	LR	54	24
evi|SF	0	SR	86	22
evo|SR	0	SR	100	1
ez|SF	0	SF	50	2
eza|LF	1	LR	100	1
eza|SF	1	LR	50	2
ezi|LF	0	SR	100	1
eće|LF	1	LR	100	1
eći|--	0	SR	62	8
eći|LF	0	LR	62	66
eći|LR	0	SR	100	15
eći|SF	0	SF	40	43
eći|SR	0	SR	64	25
eću|LF	0	SF	100	1
eđa|SF	0	SR	100	2
eš|--	0	SR	100	1
eš|LF	0	SR	100	1
eši|LF	0	SR	100	1
ež|--	0	SF	100	1
ež|LF	0	LR	71	7
eže|LF	0	SR	100	1
eћи|SF	0	SF	100	1
f|--	0	SF	100	1
f|LF	0	SF	75	4
f|LR	0	SR	100	2
f|SF	0	SF	100	2
fa|LF	1	--	100	1
fa|SF	0	LF	100	1
fem|LF	0	SR	100	1
fer|--	0	SR	100	1
fi|SF	0	LF	100	1
fik|LR	1	SR	100	1
fir|SF	1	LR	50	2
fiš|SF	0	SR	100	1
fni|SF	0	LF	100	1
fon|LF	0	SF	100	1
fon|SR	1	SR	100	1
for|--	0	SR	100	1
for|SF	0	SF	100	1
fun|LF	0	SR	50	2
g|--	0	SR	50	2
g|LF	0	LF	67	3
g|LR	0	SR	100	2
g|SF	0	SF	79	14
g|SR	0	SR	100	12
ga|--	0	SR	100	1
ga|LF	0	LF	80	5
ga|SF	0	SF	50	4
ga|SR	0	SR	100	1
gaj|LF	1	SR	100	1
gan|--	1	SR	50	2
gda|SF	0	SF	100	1
gde|SF	0	SF	67	3
ge|LF	0	LF	100	1
ge|SF	0	--	100	1
gi|LF	0	LF	100	2
gi|LR	1	SR	100	1
gi|SF	0	SR	100	1
gib|SF	0	LR	100	1
gl|--	0	SR	100	1
gl|LF	0	SR	100	2
go|SF	0	LF	100	1
god|--	0	LR	50	2
god|LR	0	LR	100	1
god|SF	0	SR	100	1
god|SR	0	SR	100	3
goj|SF	0	SF	100	1
gon|LF	0	SR	100	1
gov|LF	0	SR	100	1
gu|SF	0	LF	100	1
guk|SF	0	SR	100	1
guć|LF	0	SF	100	1
h|--	0	SR	67	3
h|LF	0	LF	50	2
h|LR	0	SR	50	2
h|SF	0	SF	92	12
h|SR	0	SR	100	15
ha|SF	0	SF	50	2
han|SF	0	SF	100	1
hni|SF	0	SF	100	1
hno|SF	0	SF	100	1
hod|SF	0	LR	100	1
hot|LF	0	SF	100	1
i|--	0	SF	28	29
i|LF	0	LF	56	166
i|LR	0	LR	98	175
i|SF	0	SF	93	500
i|SR	0	SR	92	1117
iba|SR	1	SR	100	1
ic|SF	0	SF	100	1
ica|--	0	SR	50	2
ica|LF	0	SR	42	19
ica|LR	1	SR	100	2
ica|SF	0	SF	61	36
ica|SR	1	SR	98	120
ice|--	0	SF	100	2
ice|LF	0	SF	40	5
ice|LR	0	LR	100	2
ice|SF	0	SF	50	4
ice|SR	1	SR	100	2
ici|--	1	LR	100	1
ici|LF	0	SR	60	5
ici|LR	0	LR	100	1
ici|SF	0	SF	50	2
ici|SR	1	SR	67	3
ico|SF	0	SF	100	1
icu|LF	0	SR	100	3
icu|SF	0	SF	100	1
icu|SR	1	SR	100	2
id|LF	0	SR	100	1
ida|SF	0	SR	100	1
if|--	1	LR	100	1
ifa|--	1	LR	100	1
iga|SF	0	SR	100	1
iho|SF	0	SF	100	1
ij|LF	0	LF	100	4
ij|SF	0	LF	100	1
ij|SR	0	SR	100	7
ija|--	0	SR	100	2
ija|LF	0	SR	50	10
ija|LR	1	SR	100	1
ija|SF	1	SR	82	11
ija|SR	1	SR	98	92
ije|LF	0	LF	100	1
ije|SF	1	SR	100	1
ije|SR	0	SR	100	1
iji|SF	1	SR	100	1
iji|SR	0	SR	100	3
ijo|SF	1	SR	100	1
ijo|SR	0	SR	100	1
iju|SF	1	SR	100	2
iju|SR	0	SR	100	1
ik|--	0	SR	100	1
ik|LF	0	SR	100	1
