# Serbo-Croatian accent lexicon — word<TAB>stressed-nucleus ordinal (0-based)<TAB>accent.
# The accent is the four-way pitch system: SR short-rising, LR long-rising, SF short-falling,
# LF long-falling, and `--` = the position is known but two contours are recorded for this
# spelling (grâd/grȁd), so the engine emits ˈ and withholds the tone rather than guessing.
# Position is emitted as ˈ; the accent becomes a Chao tone letter + length.
# Shared by the sr / hr / bs engines, which all run serbian.ts's g2p. A nucleus is a vowel OR a syllabic ⟨r⟩.
# From kaikki.org Serbo-Croatian (Wiktionary extract, CC-BY-SA) — built from the ACCENTED
# ORTHOGRAPHY (rijéka), not the IPA (/rjěːka/), which has a different nucleus count under the
# Ijekavian ⟨ije⟩ reflex. Both scripts. See tools/serbian/build_sh_stress_lexicon.py.
aktivnost	1	LR
aktovka	0	SF
aktualan	0	SF
aktualizam	3	SR
aktualizirajući	4	LR
aktualiziranje	4	LR
aktualizirati	4	LR
aktualiziravši	4	LR
aktualizma	3	SR
aktualni	0	SF
aktuelan	0	SF
aktuelni	0	SF
akulturacija	3	LR
akumulacija	3	LR
akumulator	2	SR
akumulirajući	3	LR
akumuliranje	3	LR
akumulirati	3	LR
akumuliravši	3	LR
akumulisati	2	SR
akupresura	3	LR
akupunktura	3	LR
akustika	1	SR
akustičan	1	SR
akustički	1	SR
akustični	1	SR
akutan	0	SF
akutni	0	SF
akuzativ	0	SF
akvadukt	2	SF
akvakultura	3	LR
akvanaut	2	SR
akvarel	1	SR
akvarelist	2	SR
akvarelistica	2	SR
akvarelistički	3	SR
akvarelistkinja	2	SR
akvarij	0	SR
akvila	0	LF
akvizicija	2	LR
akšam	0	SR
ala	0	--
alabama	2	SR
alaburić	2	SF
alah	0	SR
alaha	1	LR
alajbegović	0	SR
alakajući	1	LR
alakanje	1	LR
alakati	1	LR
alakača	1	SR
alapača	1	SR
alarm	0	SR
alarmantan	2	SR
alarmantni	2	SR
alarmantno	2	SR
alarmirati	2	LR
alarmni	0	SR
alas	0	SR
alasa	1	LR
alase	1	LR
alasi	1	LR
alasima	1	LR
alasom	1	LR
alasu	1	LR
alat	0	--
alataka	0	SR
alatka	0	SR
alatki	0	SR
alatni	0	SR
alavanja	0	SF
alačući	1	LR
albanac	1	LR
albanci	1	LR
albanija	0	SR
albanizacija	3	LR
albanizirajući	3	LR
albaniziranje	3	LR
albanizirati	3	LR
albaniziravši	3	LR
albanka	0	SR
albanolog	2	SR
albanologija	3	SR
albanologijski	3	SR
albanolozi	2	SR
albanološki	2	SR
albanološkinja	2	SR
albanolože	2	SR
albanski	0	SR
albatros	0	SR
albin	0	SR
albina	1	LR
albini	1	LR
albinizam	2	SR
albinizma	2	SR
albino	1	LR
album	0	SR
albuma	1	LR
alci	0	SR
aldov	0	SR
ale	0	SF
alegorija	2	SR
alegoričan	2	SR
alegorični	2	SR
aleksandra	1	SR
aleksandrija	2	SR
aleksandropolj	3	SR
aleksandropolja	3	SR
aleksandropoljem	3	SR
aleksandropolju	3	SR
aleksej	1	SR
aleksinac	0	SR
aleksinački	0	SR
alem	0	--
alergija	1	SR
alergičan	1	SR
alergičar	1	SR
alergični	1	SR
alergično	1	SR
alergičnost	1	SR
alergičnosti	1	SR
alergičnošću	1	SR
alergolog	2	SR
alergologija	3	SR
alergologijski	3	SR
alergolozi	2	SR
alergološki	2	SR
aleutski	1	SR
alfa	0	SF
alfabet	1	SR
alfabeta	2	LR
alfabetizam	3	SR
alfabetizma	3	SR
alfabetski	1	SR
alga	0	LF
algebara	0	SR
algebarski	0	SR
algebra	0	SR
algebri	0	SR
algologija	2	SR
algonkijski	1	SR
algoritam	2	SR
algoritma	2	SR
algoritmi	2	SR
alhamiado	3	LR
alhemija	1	SR
ali	0	SF
alibi	0	SR
aligator	1	SR
alijansa	1	SR
alijansi	1	SR
alijenacija	3	LR
alimentacija	3	LR
aliteracija	3	LR
aljaska	0	SR
aljaski	0	SR
aljkav	0	SF
aljkavi	0	SF
aljkavo	0	SF
alka	0	LF
alkaloid	2	SR
alkaloida	3	LR
alkaloidi	3	LR
alkemija	1	LR
alki	0	LF
alkohol	0	SR
alkoholizam	3	SR
alkoholizirajući	4	LR
alkoholiziran	3	SR
alkoholizirani	3	SR
alkoholiziranje	4	LR
alkoholizirati	4	LR
alkoholiziravši	4	LR
alkoholizma	3	SR
alkoholičar	2	SR
alkoholičara	2	SR
alkoholičare	2	SR
alkoholičarem	2	SR
alkoholičari	2	SR
alkoholičarima	2	SR
alkoholičaru	2	SR
alkoholni	0	SR
alkoholno	0	SR
almaatski	2	SF
almanah	1	SR
almanasi	1	SR
almoštvo	0	SR
almuštvo	0	SR
alodij	0	SR
alofon	0	SF
alomorf	0	SF
alonim	1	SR
alopecija	2	SR
alotrop	1	SR
alotropi	2	LR
alpa	0	LF
alpe	0	LF
alpinac	1	LR
alpinaca	0	SR
alpinist	1	SR
alpinista	1	SR
alpinistika	2	SR
alpinizam	2	SR
alpinski	0	SR
alpski	0	LF
alteracija	2	LR
alternacija	2	LR
alternativa	3	LR
alternativac	3	LR
alternativan	0	SF
alternativni	0	SF
alternirajući	2	LR
alterniranje	2	LR
alternirati	2	LR
alterniravši	2	LR
altimetar	0	SR
altituda	2	LR
altruističan	2	SR
altruistički	2	SR
altruizam	2	SR
altruizma	2	SR
aludirajući	2	LR
aludiranje	2	LR
aludirati	2	LR
aludiravši	2	LR
aluga	0	SR
aluminij	1	SR
aluminijski	1	SR
aluminijum	1	SR
alunirajući	2	LR
aluniranje	2	LR
