# Irish (ga) Connacht pronunciation lexicon — generated by tools/gen/build-ga-lexicon.mts (do not hand-edit).
# Oracle-distilled (espeak-ng-portable ga over the 50k corpus), Connacht-normalized vs the wikipron gle
# referee: broad bh/mh vˠ→w, unstressed final -e ɛ→ə, unstressed short i ɪ→ə, spurious break iːə→iː. Only
# consonant+glide-skeleton-matching entries are kept (pins semi-lexical VOWEL QUALITY — io/oi/eo splits —
# without importing a consonant quirk OR an oracle glide the rules omit), THEN referee-gated: any entry the
# wikipron gle referee covers is kept only if it folds to a referee pronunciation, so the lexicon never pulls
# a checkable word away from Connacht ground truth. word<TAB>IPA.
amalgada	ˈamˠəl̪ˠəɡəd̪ˠə
amapá	ˈamˠəpˠˌɑː
amasán	ˈamˠəsˠˌɑːn̪ˠ
amasóine	əmˠəsˠˈoːⁱnʲə
ambasadóir	əmˠbˠəsˠəd̪ˠˈoːⁱɾʲ
ambasáid	əmˠbˠəsˠˈɑːⁱdʲ
ambasáidí	əmˠbˠəsˠˈɑːⁱdʲiː
amergin	ˈamʲəɾʲəɟənʲ
amfailítí	əmˠfˠəlʲˈiːtʲiː
amfaiteireach	ˈamˠfˠətʲɛɾʲəx
amfaitéatar	əmˠfˠətʲˈeːt̪ˠəɾˠ
amfaprótónacha	əmˠfˠəpˠɾˠˈoːt̪ˠˈoːn̪ˠəxə
amlaíb	əmˠl̪ˠˈiːbʲ
amáiris	əmˠˈɑːⁱɾʲəʃ
amóinia	əmˠˈoːⁱnʲiə
amóiniam	əmˠˈoːⁱnʲiəmˠ
ana	ˈən̪ˠə
anabaí	ən̪ˠˈabˠiː
anaclann	ən̪ˠˈakl̪ˠən̪ˠ
anacrach	ən̪ˠˈakɾˠəx
anagaire	ən̪ˠˈaɡəɾʲə
anailgéiseach	ən̪ˠəlʲɟˈeːʃəx
anailidí	ən̪ˠˈalʲədʲiː
anailis	ən̪ˠˈalʲəʃ
anailisiú	ən̪ˠˈalʲəʃuː
anailís	ən̪ˠəlʲˈiːʃ
anailíse	ən̪ˠəlʲˈiːʃə
anailíseach	ən̪ˠəlʲˈiːʃəx
anailíseacha	ən̪ˠəlʲˈiːʃəxə
anailísithe	ən̪ˠəlʲˈiːʃəhə
anailísiú	ən̪ˠəlʲˈiːʃuː
anailísí	ən̪ˠəlʲˈiːʃiː
anais	ən̪ˠˈɪʃ
anaithnide	ən̪ˠˈahnʲədʲə
analach	ən̪ˠˈal̪ˠəx
anallód	ən̪ˠəl̪ˠˈoːd̪ˠ
analog	ən̪ˠˈal̪ˠəɡ
analógach	ən̪ˠəl̪ˠˈoːɡəx
analógacha	ən̪ˠəl̪ˠˈoːɡəxə
anamúil	ən̪ˠˈamˠuːlʲ
anamúlacht	ən̪ˠˈamˠuːl̪ˠəxt̪ˠ
anand	ən̪ˠˈan̪ˠd̪ˠ
anaróideach	ən̪ˠəɾˠˈoːⁱdʲəx
anasach	ən̪ˠˈasˠəx
anatamaithe	ən̪ˠˈat̪ˠəmˠəhə
anatamaí	ən̪ˠˈat̪ˠəmˠiː
anatamaíoch	ən̪ˠət̪ˠəmˠˈiːx
anatamaíocht	ən̪ˠət̪ˠəmˠˈiːxt̪ˠ
anatamaíochta	ən̪ˠət̪ˠəmˠˈiːxt̪ˠə
anatoli	ən̪ˠˈat̪ˠəlʲə
anbhá	ˈan̪ˠəwˌɑː
anbhás	ˈan̪ˠəwˌɑːsˠ
anchorage	ˈan̪ˠəxəɾˠəɟə
anchumaí	ˈan̪ˠəxəmˠiː
andalucía	ən̪ˠd̪ˠəl̪ˠəcˈiː
andraidít	ən̪ˠd̪ˠɾˠədʲˈiːtʲ
andraigíneach	ən̪ˠd̪ˠɾˠəɟˈiːnʲəx
andraiméide	ən̪ˠd̪ˠɾˠəmʲˈeːdʲə
andré	ən̪ˠdʲɾʲˈeː
aniar	ənʲˈiəɾˠ
anime	ənʲˈɪmʲə
anin	ənʲˈɪnʲ
anmain	ˈan̪ˠəmˠənʲ
anmann	ˈan̪ˠəmˠən̪ˠ
annraoi	ˈan̪ˠɾˠəiː
annál	ˈan̪ˠˌɑːl̪ˠ
annála	ˈan̪ˠˌɑːl̪ˠə
annálacha	ˈan̪ˠˌɑːl̪ˠəxə
anord	ən̪ˠˈoːɾˠd̪ˠ
anortaisít	ən̪ˠəɾˠt̪ˠəʃˈiːtʲ
anselm	ən̪ˠʃˈɛlʲmˠ
anseó	ən̪ˠʃəˈoː
anso	ən̪ˠsˠˈɔ
antaiseipteán	ˈan̪ˠt̪ˠəʃɛpʲtʲɑːn̪ˠ
antaithéacht	ən̪ˠt̪ˠəhˈeːxt̪ˠ
antaithéachtach	ən̪ˠt̪ˠəhˈeːxt̪ˠəx
antalóp	ən̪ˠt̪ˠəl̪ˠˈoːpˠ
antamóiníd	ən̪ˠt̪ˠəmˠˈoːⁱnʲˈiːdʲ
antamón	ən̪ˠt̪ˠəmˠˈoːn̪ˠ
antoine	ˈan̪ˠt̪ˠɔnʲə
antonius	ˈan̪ˠt̪ˠənʲʊsˠ
antraipeolaíoch	ən̪ˠt̪ˠɾˠəpʲoːl̪ˠˈiːx
antraipeolaíochta	ən̪ˠt̪ˠɾˠəpʲoːl̪ˠˈiːxt̪ˠə
antrapaiméadrachta	ən̪ˠt̪ˠɾˠəpˠəmʲˈeːd̪ˠɾˠəxt̪ˠə
antrapóideacha	ən̪ˠt̪ˠɾˠəpˠˈoːⁱdʲəxə
anuaireach	ən̪ˠˈuəɾʲəx
anuas	ən̪ˠˈuəsˠ
anáidí	ən̪ˠˈɑːⁱdʲiː
análaitheoir	ən̪ˠˌɑːl̪ˠəhˈoːɾʲ
análaíonn	ən̪ˠˌɑːl̪ˠˈiːn̪ˠ
análú	ən̪ˠˈɑːl̪ˠuː
anéis	ənʲˈeːʃ
aníos	ənʲˈiːsˠ
anóid	ən̪ˠˈoːⁱdʲ
anúna	ən̪ˠˈuːn̪ˠə
aodhagáin	eːɣəɡˈɑːⁱnʲ
aodháin	eːɣˈɑːⁱnʲ
aodhán	ˈeːɣˌɑːn̪ˠ
aogán	ˈeːɡˌɑːn̪ˠ
aolchloch	ˈeːl̪ˠxl̪ˠəx
aolchloiche	ˈeːl̪ˠxl̪ˠɔçə
aolphlástar	ˈeːl̪ˠfˠl̪ˠˌɑːsˠt̪ˠəɾˠ
aonadphróisis	eːn̪ˠəd̪ˠfˠɾˠˈoːⁱʃəʃ
aonaránach	ˈeːn̪ˠəɾˠˌɑːn̪ˠəx
aoncheallach	ˈeːn̪ˠəçəl̪ˠəx
aoncheallacha	ˈeːn̪ˠəçəl̪ˠəxə
aoncheamara	ˈeːn̪ˠəçəmˠəɾˠə
aonchineálach	ˈeːn̪ˠəçənʲɑːl̪ˠəx
aonchineálú	ˈeːn̪ˠəçənʲɑːl̪ˠuː
aonchiseal	ˈeːn̪ˠəçəʃəl̪ˠ
aonchoitiléadóin	eːn̪ˠəxɔtʲəlʲˈeːd̪ˠˈoːⁱnʲ
aonchont	ˈeːn̪ˠəxən̪ˠt̪ˠ
aonchruite	ˈeːn̪ˠəxɾˠətʲə
aonchéileacha	eːn̪ˠəçˈeːlʲəxə
aonmheán	ˈeːn̪ˠəvʲɑːn̪ˠ
aonocsaíd	eːn̪ˠəksˠˈiːdʲ
aonraíoch	eːn̪ˠɾˠˈiːx
aonrúcháin	eːn̪ˠɾˠuːxˈɑːⁱnʲ
