# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
ดับเพลิง	dˈa˨˩ppʰlɤː˧ŋ
ดาราศาสตร์	dˈaː˧raː˧sˌaː˨˩t
ดาวดึงส์	dˈaː˧wwa˦˥dˌɯ˧ŋ
ดาวเคราะห์	dˈaː˧wkʰrɔ˦˥ʔ
ดำน้ำ	dˈa˧mnaː˦˥m
ดินร่วน	dˈi˧nrua˥˩n
ดีเด่น	dˈiː˧de˨˩n
ดีไซน์	dˈiː˧saː˧j
ดึกดำบรรพ์	dˈɯ˨˩kda˧mbˌa˧n
ดุลพินิจ	dˈu˧nla˦˥pʰˌi˦˥ni˦˥t
ดุลยพินิจ	dˈu˧nla˦˥jˌa˦˥pʰi˦˥nˌi˦˥t
ดุษฎี	dˈu˨˩tsa˨˩dˌiː˧
ดุษฎีบัณฑิต	dˈu˨˩tsa˨˩dˌiː˧ba˧ndˌi˨˩t
ตกผลึก	tˈo˨˩kpʰa˨˩lˌɯ˨˩k
ตกแต่ง	tˈo˨˩ktɛ˨˩ŋ
ตรงกลาง	trˈo˧ŋklaː˧ŋ
ตรงข้าม	trˈo˧ŋkʰaː˥˩m
ตรงนี้	trˈo˧ŋniː˦˥
ตรรกะ	tˈa˨˩kka˨˩ʔ
ตรวจ	trˈua˨˩t
ตรวจตรา	trˈua˨˩ttraː˧
ตรวจสอบ	trˈua˨˩tsɔː˨˩p
ตรวน	trˈua˧n
ตรัสรู้	trˈa˨˩tsa˨˩rˌuː˦˥
ตลาดน้ำ	tˈa˨˩laː˨˩tnˌaː˦˥m
ตลาดหลักทรัพย์	tˈa˨˩laː˨˩tlˌa˨˩ksa˦˥p
ตอนเช้า	tˈɔː˧nt͡ɕʰaː˦˥w
ตะกวด	tˈa˨˩kua˨˩t
ตะวันออกกลาง	tˈa˨˩wa˧nʔˌɔː˨˩kklaː˧ŋ
ตะวันออกเฉียงใต้	tˈa˨˩wa˧nʔˌɔː˨˩kt͡ɕʰia˩˩˦ŋtˌaː˥˩j
ตะวันออกไกล	tˈa˨˩wa˧nʔˌɔː˨˩kkla˧j
ตะแกรง	tˈa˨˩krɛː˧ŋ
ตะไคร่	tˈa˨˩kʰra˥˩j
ตะไคร้	tˈa˨˩kʰra˦˥j
ตักบาตร	tˈa˨˩kbaː˨˩t
ตัดสินใจ	tˈa˨˩tsi˩˩˦nt͡ɕˌa˧j
ตับอ่อน	tˈa˨˩pʔɔː˨˩n
ตัวละคร	tˈua˧la˦˥kʰˌɔː˧n
ตัวหนังสือ	tˈua˧na˩˩˦ŋsˌɯː˩˩˦
ตัวอย่าง	tˈua˧jaː˨˩ŋ
ตัวอักษร	tˈua˧ʔa˨˩ksˌɔː˩˩˦n
ตัวแปร	tˈua˧prɛː˧
ตัวใครตัวมัน	tˈua˧kʰra˧jtˌua˧ma˧n
ตั๊กแตน	tˈa˦˥kka˨˩tˌɛː˧n
ตั๋วสัญญาใช้เงิน	tˈua˩˩˦sa˩˩˦njˌaː˧t͡ɕʰa˦˥jŋˌɤ˧n
ตำรวจ	tˈa˧mrua˨˩t
ติดอ่าง	tˈi˨˩tʔaː˨˩ŋ
ตีตรา	tˈiː˧traː˧
ตึงเครียด	tˈɯ˧ŋkʰria˥˩t
ตื่นเต้น	tˈɯː˨˩nte˥˩n
ตุรกี	tˈu˨˩ra˦˥kˌiː˧
ตุ๊กตา	tˈu˦˥kka˨˩tˌaː˧
ต่างชาติ	tˈaː˨˩ŋt͡ɕʰaː˥˩t
ต้นสายปลายเหตุ	tˈo˥˩nsaː˩˩˦jplˌaː˧jheː˨˩t
ต้นไม้	tˈo˥˩nmaː˦˥j
ถวายบังคม	tʰˈa˨˩waː˩˩˦jbˌa˧ŋkʰo˧m
ถวายพระพร	tʰˈa˨˩waː˩˩˦jpʰrˌa˦˥pʰɔː˧n
