# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
امانت	əmɑːnət̪
امانتو	əmɑːnə̲t̪oː
امانتوں	əmɑːnə̲t̪oː̃
امانتیں	əmɑːnə̲t̪eː̃
اماوس	əmɑːʋəs
اماں	əmːɑː̃
امبا	əmbɑː
امبانی	əmbɑːniː
امبر	əmbəɾ
امتحان	ɪmt̪əɦɑːn
امتحانوں	əmt̪əɦɑːnoː̃
امداد	ɪmd̪ɑːd̪
امر	əməɾ
امرا	ʊmɾɑː
امراوتی	əmɾɑːʋt̪iː
امرت	əmɾɪt̪
امرتسر	əmɾɪt̪səɾ
امرود	əmɾuːd̪
امروز	ɪmɾoːz
امروہا	əmɾoːɦɑː
امرکوش	əməɾkoːʃ
امریکا	əmɾiːkɑː
امریکن	əmɾiːkən
امریکہ	əmeːɾɪkɑ
امس	ʊməs
امفال	ɪmpʰɑːl
امل	əməl
املا	ɪmlɑː
املتاس	əməlt̪ɑːs
املی	ɪmliː
امن	əmən
اموآ	əmɔːɑː
امور	əmuːɾ
اموگھ	əmoːɡʱ
امچور	əmt͡ʃuːɾ
امڑنا	ʊməɽnɑː
امک	əmʊk
امکان	ɪmkɑːn
امہاری	əmɦɑːɾiː
امی	əmːiː
امیبا	əmiːbɑː
امید	ʊmːiːd̪
امیدوار	ʊmːiːd̪ʋɑːɾ
امیر	əmiːɾ
امیٹھنا	ʊmeːʈʰnɑː
امیٹھی	əmeːʈʰiː
ان	ɪn
انا	ɑːnɑː
اناؤ	ʊnːɑːʋ
اناتولی	ənɑːt̪oːliː
اناتھ	ənɑːt̪ʰ
اناج	ənɑːd͡ʒ
انادر	ənɑːd̪əɾ
انار	ənɑːɾ
انارکلی	ənɑːɾəkliː
اناسی	ʊnɑːsiː
اناطولیہ	ənɑːt̪oːlɪjɑ
انامکا	ənɑːmɪkɑː
انانتر	ənɑːn̪t̪ɾ
اناڑی	ənɑːɽiː
اناہ	ʊnɑːɦ
اناہار	ənɑːɦɑːɾ
انبج	əmbʊd͡ʒ
انبر	əmbəɾ
انبن	ənbən
انبھ	əmbʱ
انبیاہا	ənəbjɑːɦɑː
انبیتا	ənbiːt̪ɑː
انت	ən̪t̪
انتالیس	ʊnt̪ɑːliːs
انتاکشری	ən̪t̪ɑːkʃəɾiː
انتباہ	ənt̪əbɑːɦ
انتخاب	ɪn̪t̪əxɑːb
انتر	ənt̪əɾ
انترال	ən̪t̪əɾɑːl
انترم	ən̪t̪əɾɪm
انترکش	ən̪t̪əɾɪkʃ
انتظار	ɪn̪t̪əzɑːɾ
انتظام	ɪn̪t̪əzɑːm
انتظامات	ɪn̪t̪əzɑːmɑːt̪
انتظامی	ənt̪əzɑːmiː
انتفاضہ	ɪn̪t̪ɪfɑːd̪ɑ
انتقال	ɪn̪t̪əqɑːl
انتقام	ɪn̪t̪əqɑːm
انتم	ən̪t̪ɪm
انتڑی	ən̪t̪əɽiː
انتھونی	eːnt̪ʰoːniː
انتھک	ənt̪ʰək
انتہا	ɪn̪t̪əɦɑː
انتہائی	ənt̪əɦɑːiː
انتیس	ʊnt̪iːs
انتیلک	ən̪t̪jələk
انجام	əɲd͡ʒɑːm
انجانا	ənd͡ʒɑːnɑː
انجماد	ənd͡ʒəmɑːd̪
