# Ilocano pronunciation lexicon: word <TAB> IPA. Mined from the STRESS-MARKED referees (kaikki ilo +
# wikipron ilo_latn, both human), normalized to our conventions. Fixes what the rule g2p cannot derive
# from spelling: LEXICAL gliding (garcia→ɡaɾsia stays, kua→kua) + the 6th vowel ⟨e⟩→[ɯ] + lexical stress.
# The shipped phonemizeWord consults this first; phonemizeWordRules (the eval path) bypasses it → NON-CIRCULAR.
'da	dˈa
sangapulo	saŋapˈulo
sangit	sˈaŋit
sanglay	saŋlˈaj
sapatos	sapˈatos
sarming	saɾmˈiŋ
saud	saʔˈud
selio	sˈɛljo
semana	sɛmˈana
sementerio	sɛmɛntˈɛɾjo
serbesa	sɛɾbˈɛsa
setiembre	sɛtjˈɛmbɾɛ
shet	ʃˈɛt
siak	siˈak
siam	sjˈam
sibuyas	sibˈujas
sida	sidˈa
siete	sjˈɛtɛ
sigarilio	siɡaɾˈiljo
sika	sˈika
sikami	sikamˈi
sikayo	sikajˈo
silindro	silˈindɾo
simbaan	simbˈaan
singko	sˈiŋko
singson	sˈiŋson
sinonimo	sinonˈimo
sita	sˈita
sitaw	sˈitaw
sitayo	sitajˈo
sitio	sˈitjo
siudad	sjudˈad
soldado	soldˈado
subec	sˈubɛk
suka	sukˈa
susi	susˈi
tabbed	tabbˈɛd
tacder	tˈakdɛɾ
tacderan	takdˈɛɾan
tadian	tˈadd͡ʒan
takki	tˈakki
takrot	takɾˈot
takuri	takuɾˈi
tallo	tˈallo
talna	tˈalna
tamayo	tamˈajo
tan-ok	tanʔˈok
tangad	tˈaŋad
tangrib	taŋɡɾˈib
taning	tˈaniŋ
tao	tˈaʔo
tapok	tˈapok
taraki	taɾˈaki
taraok	taɾˈaʔok
tawen	tawˈɛn
tayum	tˈajum
teknolohia	tɛknolˈohja
telebision	tɛlɛbˈisjon
teltel	tˈɛltɛl
templa	tˈɛmpla
tia	tˈija
tig-ab	tiɡʔˈab
tineg	tˈinɛɡ
tinidor	tinˈidoɾ
tio	tˈijo
tipon	tˈipon
toy	tˈoj
tradision	tɾadˈisjon
trahedia	tɾahˈɛdja
trancoville	tɾaŋkˈobil
tres	tɾˈɛs
trese	tɾˈɛsɛ
tsinelas	t͡ʃinˈɛlas
tualia	twˈalja
tublay	tublˈaj
tubo	tˈubo
tugaw	tuɡˈau
tugtog	tuɡtˈoɡ
tuguegarao	tuɡɛɡaɾˈaw
tukod	tˈukod
tulad	tˈulad
tulang	tulˈaŋ
tulisan	tulisˈan
tulong	tˈuloŋ
tuloy	tulˈoj
tumacder	tumˈakdɛɾ
tumagos	tumˈaɡos
tumakder	tumakdˈɛɾ
tumulong	tumˈuloŋ
tunaw	tˈunaw
tungaw	tˈuŋau
turog	tˈuɾoɡ
tuyo	tujˈo
uging	ʔˈuɡiŋ
ukay	ʔukˈaj
uken	ʔukˈɛn
ukina	ʔukinnˈa
