# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
تصادفی	تصادُفی
تصرف	تصِرِف
تصویرگر	تصویرگِر
تطابق	تطابُق
تعادل	تعادُل
تعارف	تعارُف
تعامل	تعامُل
تعاملی	تعامُلی
تعجب	تعِجِب
تعرض	تعِرِض
تعرفه	تعرِفه
تعزیه	تعزِیه
تعلق	تعِلِق
تعلل	تعِلِل
تعلم	تعِلِم
تغافل	تغافُل
تفرق	تفِرِق
تفرقه	تفرِقه
تفسیدن	تفسیدِن
تفضلی	تفِضِلی
تفلیس	تِفلیس
تفنن	تفِنِن
تفننی	تفِنِنی
تفنگ	تفِنگ
تفنگچه	تُفنْگْچه
تفک	تفِک
تقابل	تقابُل
تقاطع	تقاطُع
تقلب	تقِلِب
تقلبی	تقِلِبی
تقیه	تقِیه
تلاطم	تلاطُم
تلف	تلِف
تلفات	تلِفات
تلفظ	تلِفِظ
تلفن	تِلِفُن
تلفنی	تِلِفُنی
تلقی	تلِقی
تماتیک	تِماتیک
تمب	تُمب
تمبک	تمبِک
تمدن	تمِدِن
تمرکز	تمرکُز
تمرگیدن	تمرگیدِن
تمساح	تِمساح
تمسخر	تمسخُر
تمشک	تمِشک
تملق	تمِلِق
تملک	تمِلِک
تمنا	تمِنا
تنازع	تنازُع
تناسب	تناسُب
تناسلی	تناسُلی
تنبسه	تنْبسه
تنبل	تنبِل
تنبک	تنبِک
تنجیدن	تنجیدِن
تند	تُند
تندباد	تُنْدْباد
تندر	تندِر
تندپز	تنْدْپِز
تنش	تنِش
تنعم	تنِعِم
تنفس	تنِفِس
تنقل	تنِقِل
تنومند	تنومِند
تنک	تنُک
تنکه	تُنُکه
تنیدن	تنیدِن
تنیدگی	تنیدِگی
تنیس	تِنیس
تنیس‌باز	تِنیس‌باز
تن‌فروش	تن‌فُروش
تهاجم	تهاجُم
تهمت	تهمِت
تهیدست	تهیدِست
توازن	تَوازُن
توالت	تُوالِت
توتیا	توتِیا
تودری	تودِری
توران‌دخت	توران‌دُخت
توشک	توشِک
تولیدن	تولیدِن
تونس	تونِس
تپیدن	تپیدِن
تکامل	تکامُل
تکثر	تکِثِر
تکدی	تکِدی
تکلم	تکِلِم
تکنیک	تِکنیک
تکه	تِکه
تکیدن	تکیدِن
تکیه	تکَیه
تگرگ	تگِرگ
تیار	تَیار
تیرگی	تیرِگی
تیمارستان	تیمارِستان
تینس	تینِس
ثابت	ثابِت
ثانیه	ثانِیه
ثریا	ثرِیا
ثلاثة	ثلاثِة
ثلجم	ثلجِم
ثمر	ثمِر
جابجا	جابِجا
جابر	جابِر
جادوگر	جادوگِر
جاذبه	جاذِبه
جالب	جالِب
جامد	جامِد
جامع	جامِع
جامعه	جامِعه
جانب	جانِب
جانشین	جانِشین
جانماز	جانِماز
جاکش	جاکِش
جایگزین	جایگُزین
جبل	جبِل
جثه	جِثه
جدا	جُدا
جدایی	جُدایی
جددین	جُددین
جده	جِده
جدی	جِدی
جراحت	جراحِت
جرثقیل	جرْثقیل
جرس	جرِس
جرم	جِرم
جرمنی	جرْمنی
جریان	جرِیان
جزء	جُزء
جزدان	جُزدان
جزوه	جُزَوه
جزیه	جِزَیه
جسارت	جسارِت
جسامت	جسامِت
جستجو	جُستُجو
جستن	جستِن
جسد	جسِد
جشنواره	جشْنواره
جعفر	جعفِر
جعفری	جعْفری
جغتای	جغِتای
جغتایی	جغِتایی
جغد	جُغد
جغرات	جُغرات
